French,English
villes,cities
keith,keith
lot,batch
militaires,military
escaliers,stairs
rumeur,rumor
serviette,towel
commercial,commercial
méthode,method
eli,Eli
avenue,avenue
autopsie,autopsy
pue,stinking
cliente,client
arrange,arrangement
venons,let's come
descendu,descended
intervention,intervention
arrêtée,arrested
chefs,chiefs
priorité,priority
serré,tight
italien,Italian
quoique,though
casino,casino
acteurs,actors
passeport,passport
pomme,apple
sincèrement,sincerely
ressources,resources
environnement,environment
can,CAN
elena,Elena
connor,connor
louise,louise
rigoles,channels
ellen,Ellen
menaces,threat
regarde-toi,look at you
toast,toast
bâton,stick
doutes,doubts
préfères,prefers
thanksgiving,Thanksgiving
bail,lease
réunis,gathered
énormément,enormously
négocier,to negotiate
remets,put back
sacrifice,sacrifice
reconnaissant,grateful
williams,Williams
jeremy,Jeremy
citoyens,citizens
abattu,beaten down
habits,clothes
otage,hostage
tatouage,tattoo
interview,interview
couru,ran
héroïne,heroin
opérer,operate
tendance,tendency
rupture,breakup
médias,media
marqué,Mark
batterie,battery
enseigne,taught
manager,manager
promener,to walk
héritage,legacy
écrivain,writer
clown,clown
ecoute-moi,listen to me
positif,positive
hitler,Hitler
jungle,jungle
équipement,equipment
penny,penny
complice,partner in crime
réalise,realized
préparez,prepare
profite,take advantage
assuré,insured
importantes,important
mette,put
pages,pages
cousine,cousin
tester,test
génération,generation
bâtard,bastard
torture,torture
putains,whores
creuser,to dig
mmm,mmm
jacob,jacob
a-t-on,do we have
loyauté,loyalty
techniquement,technically
cravate,tie
mourra,will die
effacer,wipe off
t-shirt,T-shirt
brigade,brigade
événement,event
rappelé,recalled
dises,say
étranges,strange
collège,middle School
leader,leader
ténèbres,darkness
samantha,samantha
trompes,trunk
associés,associates
examens,exams
taré,tare
bart,bart
dent,tooth
dangereuse,dangerous
poumons,lungs
holly,Holly
destruction,destruction
bateaux,boats
trouvais,found
pires,worse
charité,charity
considère,considered
révérend,reverend
retrouvée,found
girl,girl
surement,certainly
expériences,experiences
quart,quarter
poches,pockets
désire,longed for
boîtes,boxes
malcolm,Malcolm
moderne,modern
résolu,resolved
manges,eating
mentionné,mentioned
pétrole,oil
solitaire,lonely
essayant,trying
démarre,started
arracher,to tear out
tendre,tender
sincère,sincere
issue,outcome
saut,jump
débrouiller,get off
mickey,Mickey
regardait,looked at
white,White
devaient,were to
timide,shy
chevalier,knight
r,R
précisément,precisely
continues,continuous
halloween,Halloween
ordures,garbage
volontaire,voluntary
interrogatoire,examination
trahison,treason
vomir,To vomit
tueurs,killers
travis,twist
confirmé,confirmed
cri,shout
clay,Clay
cassée,broken
soucie,concern
censés,supposed
adrian,Adrian
siècles,centuries
cruel,cruel
plaisantez,joke
agi,act
probable,likely
scandale,scandal
laissent,leave
otages,hostages
invisible,invisible
mélange,mixed
responsabilités,responsibilities
ashley,ashley
harold,Harold
albert,Albert
importants,important
attendrai,will wait
déménager,to relocate
perdez,lose
visages,faces
échantillon,sample
explosé,exploded
jouent,are playing
homer,homer
nan,Nope
flash,flash
systèmes,systems
usa,USA
simples,simple
christine,Christine
charges,loads
funérailles,funeral
ressembler,look like
césar,Caesar
evan,Evan
jouets,toys
chaos,chaos
mm-hmm,MM-HMM
green,green
outils,tools
audrey,Audrey
résistance,resistance
dessert,dessert
cons,cons
insiste,insistant
veuve,widow
riley,Riley
effectivement,effectively
dernièrement,lately
neil,neil
moyenne,mean
logan,logan
contient,contains
espagne,Spain
virée,trip
épaules,shoulders
stone,stone
passe-moi,pass me
altesse,highness
gênant,annoying
voter,vote
manquait,lacked
laisse-la,leave her
protégé,protected
esclaves,slaves
arrêtera,will stop
construction,construction
utilisez,use
cadavres,corpses
immense,immense
net,net
renvoyé,fired
population,population
mondiale,global
juillet,July
capacité,ability
sortait,was going out
expliqué,Explain
va-t-on,Are we going
sensation,sensation
sien,his
mason,mason
retenu,retained
informer,inform
récupère,recover
ordonné,ordered
potentiel,potential
baisser,to lower
admire,admire
morale,moral
pasteur,pastor
patrouille,patrol
connerie,bullshit
impact,impact
partant,go by
baseball,baseball
sel,salt
conducteur,driver
maintenir,maintain
stable,steady
motel,motel
pourront,may
poker,poker
abattre,tear down
littéralement,literally
présidente,president
hill,hill
oublierai,will forget
tokyo,Tokyo
jules,Jules
panneau,sign
évite,avoid
regardent,look
tragédie,tragedy
angel,angel
serveur,waiter
fruit,fruit
aaron,Aaron
marge,margin
earl,earl
prière,pray
activités,activities
légiste,jurist
impôts,taxes
possession,possession
confirmer,to confirm
out,out
vendeur,seller
discuté,discussed
dépasse,outrun
apprécié,appreciated
combinaison,combination
joan,joan
proposer,to propose
séjour,stay
utilisent,use
exception,exception
ambassadeur,ambassador
lincoln,Lincoln
craindre,to fear
allison,allison
boy,boy
poing,fist
commences,outburst
chapitre,chapter
four,oven
rapporte,report
association,association
connaissiez,knew
audition,hearing
ordure,junk
écriture,writing
publicité,advertising
cendres,ashes
motif,pattern
respiration,breathing
rends-moi,give me back
quinze,fifteen
art.,art.
regretter,to regret
avril,april
boue,mud
pleuré,cry
rita,rita
pipi,Pee
noté,note
sammy,sammy
tv,TV
cran,gut
échappe,escape
veuille,want
vivez,live
apparence,appearance
principe,principle
oublies,forget
essentiel,essential
moment-là,time
quittez,leave
sortons,let's go out
alpha,alpha
gentleman,gentleman
gabriel,Gabriel
eaux,waters
house,house
brise,broken
verte,green
boules,balls
lauren,Lauren
canada,Canada
demandent,request
exige,required
règlement,settlement
francis,francis
barney,barney
aimable,friendly
habillé,dressed
ann,Ann
symbole,symbol
endormi,sleeping
margaret,margaret
marin,marine
what,what
docteurs,doctors
adorent,love
revanche,revenge
rarement,rarely
gâteaux,cakes
préparez-vous,prepare yourselves
parait,appears
with,with
fonce,dark
satellite,satellite
paige,paige
dettes,debts
rembourser,to reimburse
passagers,passengers
luxe,luxury
vallée,valley
médicale,medical
reprend,resumes
transport,transportation
effrayé,scared
franc,franc
couronne,crown
scientifiques,scientists
chacune,each
plante,plant
menu,menu
revolver,revolver
bonhomme,fellow
légal,legal
liam,Liam
discute,discuss
bonté,goodness
bières,beers
complète,complete
avertissement,Warning
acier,steel
subir,undergo
sentait,felt
berlin,Berlin
kitty,kitty
plais,pleasant
planté,plant
branche,plugged
puissante,powerful
engagement,commitment
imaginé,conceived
options,options
coûté,cost
changements,changes
révéler,reveal
mesures,measures
coordonnées,contact information
contacts,contacts
bip,beep
producteur,producer
cessé,stopped
fonction,function
lame,blade
donnait,gave
navrée,heartbroken
shawn,shawn
cachée,hidden
salopard,bastard
cuir,leather
monica,monica
megan,megan
direz,you will say
goutte,drop
rate,missed
ticket,ticket
douter,doubt
chloé,chloe
fédéral,federal
stephen,Stephen
maths,math
ose,dare
attaques,attacks
autoroute,motorway
accuser,to accuse
dealer,dealer
déposition,deposition
victoria,Victoria
étonne,surprised
deuil,grief
occupe-toi,keep busy
légère,light
huh,huh
avocate,lawyer
statue,statue
excellence,Excellency
coule,flow
armés,armed
piqué,dive
eva,Eva
pères,fathers
basket,basketball
harris,Harris
ô,Ô
pathétique,pathetic
x,X
journalistes,journalists
remarquer,to remark
booth,boot
matthew,Matthew
innocente,innocent
fichiers,files
casque,helmet
ruiné,ruin
mené,led
v,V
prime,prime
bloqué,blocked
faisiez,do
jenna,jenna
bénisse,bless
hélas,Alas
sec,dry
éclater,to burst
bienvenu,welcome
aile,wing
mortes,dead
combats,fighting
kg,kg
protocole,protocol
prendrais,would take
chatte,cat
mouvements,movements
poignée,handle
reviennent,come back
gloria,Gloria
nelson,nelson
aah,aah
vodka,vodka
roue,wheel
oblige,obligatory
quartiers,neighborhoods
boucle,loop
mordu,bitten
fois-ci,time
légitime,legit
délire,delirium
médicament,medication
resto,restaurant
trente,thirty
island,Island
douloureux,sore
vues,views
tonnes,tons
jersey,Jersey
demoiselle,lady
attire,attracted
bagnole,car
serveuse,waitress
contacté,contacted
relève,succession
reprends,resume
allume,alight
conflit,conflict
accomplir,accomplish
bouteilles,bottles
shane,shane
pensant,thinking
lisez,read
prêtes,ready
badge,badge
little,Little
pension,pension
déposé,deposit
routine,routine
crève,buzzer
articles,items
chagrin,sorrow
local,local
saurai,will be
appuie,support
filmer,film
ayons,have
know,Know
amusez-vous,have fun
servent,serve
réduire,reduce
remet,put back
filé,thread
courez,run
rit,laugh
symptômes,symptoms
feuilles,leaves
candidat,candidate
vides,empty
soupirs,sighs
rory,Rory
professionnelle,professional
ressemblent,look alike
wade,wade
sauvages,wild
organise,organized
munitions,ammunition
cercueil,coffin
cm,cm
enquêter,investigate
disparue,missing
réelle,real
trône,throne
ouverts,open
planque,hideout
asile,asylum
louer,to rent out
allumer,to light up
craig,craig
tarder,delay
fausses,false
f,F
administration,administration
arrangement,arrangement
existent,exist
hop,hop
juin,June
sachez,know
contrairement,in contrary
wendy,Wendy
conseille,advisor
ford,Ford
fabrique,made
mitchell,mitchell
obscurité,darkness
talents,talents
enlevez,remove
informé,informed
colline,hill
telles,such as
horribles,horrible
avoué,avowed
mentez,lie
réalisateur,director
lesquelles,which
fait-on,Do we do
puits,well
octobre,october
cherchons,let's look
costumes,costumes
irez,go on
suis-moi,follow me
léo,leo
renoncer,to renouncer
aimée,beloved
république,Republic
rendent,make
longues,long
sauvée,saved
nuit-là,night
testament,will
facture,invoice
domicile,residence
basse,low
transformé,transformed
emmenée,taken
médaille,medal
texte,text
établir,establish
vanessa,Vanessa
sienne,his
kong,kong
record,record
connaisse,know
blé,wheat
guerrier,warrior
sms,sms
entrain,by train
quittes,quit
plantes,plants
restons,stay
accéder,to access
suprême,supreme
warren,warren
installé,installed
tuent,kill
décrire,describe
enveloppe,envelope
était-il,was he
manche,sleeve
écoles,schools
rappelle-toi,reminds you
batman,Batman
embête,annuity
espèces,species
dalle,slab
auquel,to which
mrs,MRS
cadre,frame
enseigner,teach
maquillage,makeup
fâchée,angry
restant,remaining
prétend,pretended
demandait,asked
gris,Grey
levez,lift
nora,nora
sépare,separate
enlèvement,removal
magicien,Wizard
historique,historical
circulation,traffic
1ère,1st
piquer,sting
stanley,Stanley
canard,duck
lancement,launch
quantité,amount
gym,gym
time,time
punir,to punish
téléphoner,call
hélicoptère,helicopter
dinde,turkey
subi,suffered
énerver,piss off
auto,car
mêle,mix
anthony,anthony
placer,to place
réduit,reduced
fédéraux,federal
bruits,noise
sujets,topics
jetez,throw away
he,Hey
tube,tube
organes,organs
mettez-vous,put yourself
poils,fur
époux,husband
tendu,tense
ingénieur,engineer
téléphones,phones
pape,Pope
routes,roads
lâché,cowardly
portant,wearing
bats,bats
laissant,leaving
pouce,inch
infection,infection
faiblesse,weakness
mettra,will put
manhattan,manhattan
responsables,managers
devinez,guess
remarquable,outstanding
tenais,held
mérité,deserved
collins,collins
santa,santa
libération,release
malentendu,misunderstanding
élément,element
vaincre,overcome
attiré,attracted
mêler,mix
bouffer,eat
souvient,Remember
profonde,deep
chaussettes,socks
morgue,morgue
accuse,accused
portez,wear
estime,valued
soda,soda
silencieux,quiet
diana,Diana
faibles,weak
avertir,to warn
côtes,ribs
tournage,filming
bonnie,Bonnie
effraction,breaking in
valises,suitcases
atmosphère,atmosphere
délit,offense
fui,fled
menottes,handcuffs
partenaires,partners
bureaux,offices
this,this
requin,shark
détention,detention
factures,invoices
agissait,acted
continué,keep on going
donne-lui,give him
observer,observe
visites,visits
conscient,aware
condoléances,condolences
maya,Maya
sortant,outgoing
nicole,Nicole
enfermer,enclose
vôtres,yours
tumeur,tumor
marches,steps
crainte,fear
panier,basket
ruth,Ruth
immunité,immunity
terriblement,terribly
compromis,compromise
serait-ce,Could it be
minimum,minimum
tels,such
coûter,cost
revue,review
hong,Hong
scotch,Scotch
tracy,tracy
repéré,spotted
ruiner,ruin
différemment,differently
violée,raped
harper,harp
trompez,cheat
salauds,bastard
putes,whores
clara,clara
pleins,full
come,come
personnages,characters
péchés,signs
fascinant,fascinating
utilisée,used
avaler,swallow
nièce,niece
élu,elected
meubles,furniture
magnifiques,magnificent
devienne,become
explose,explode
portent,carry
viennes,viennes
passerai,will pass
sagesse,wisdom
seth,Seth
fouillé,search
française,French
janet,janet
attends-moi,wait for me
just,just
imaginais,imagined
douzaine,dozen
fusillade,shooting
intentions,intentions
puissent,may
permettez-moi,allow me
serrer,to squeeze
trouble,trouble
sachiez,know
connexion,connection
renversé,reversed
voudriez,would
équilibre,balance
usage,use
rapporter,report
meure,detection
sydney,sydney
intéresser,to interest
sourd,deaf
vaudrait,would be worth
industrie,industry
connus,known
norman,norman
soudainement,suddenly
états,states
brooklyn,Brooklyn
croirait,would believe
communiquer,communicate
déménagé,moved
saigne,bleeding
longs,long
festival,festival
inconnue,unknown
parliez,talk
revu,saw again
parlez-moi,talk to me
destinée,destiny
linge,laundry
ressent,feel
câlin,Hug
trouvons,find
promettre,to promise
jugé,judge
fragile,brittle
fabuleux,fabulous
sieste,siesta
conçu,designed
indices,clues
obéir,to obey
suicider,suicide
chant,song
simpson,Simpson
curiosité,curiosity
balancer,swing
entraîneur,coach
judy,Judy
écrasé,crushed
archives,archives
intimité,privacy
demeure,remains
ambiance,vibe
c.,vs.
ressembles,resemblas
brillante,brilliant
ramasser,pick up
satisfait,satisfied
tara,tara
karl,karl
connaitre,to know
hector,Hector
tissu,tissue
viendrais,would come
nuages,clouds
avait-il,he had
phoebe,phoebe
soir-là,night
résidence,residence
jouais,played
pourrais-tu,could you
arriverai,will arrive
politiques,policies
débat,debate
fonctionner,function
prostituée,prostitute
bo,bo
homo,homo
pompiers,firefighters
sorcières,witches
parles-tu,do you speak
leçons,lessons
rendra,will return
vic,vic
naturelle,natural
réunions,meetings
implique,involved
bracelet,bracelet
look,look
zoo,zoo
confortable,comfortable
navette,shuttle bus
cervelle,brain
baron,baron
jumeaux,twins
genou,knee
ralph,ralph
may,May
mystérieux,mysterious
coincés,stuck
campus,campus
arriverait,would arrive
augmenter,increase
tragique,tragic
cash,cash
elliot,elliot
vilain,naughty
toc,knock
essaient,try
moscou,Moscow
heather,Heather
destination,destination
grossesse,pregnancy
foiré,fair
royal,royal
exposition,exposure
amuse-toi,have fun
nid,nest
artistes,artists
vise,target
merdé,shit
mafia,mafia
assiette,plate
finn,Finn
demanderai,will ask
kit,kit
capables,capable
aiderait,would help
par-dessus,Above
fréquence,frequency
ceux-là,those
montrent,show
caches,caches
stars,stars
dépensé,spent
lane,lane
méthodes,methods
boum,boom
atelier,workshop
passées,past
divine,Divine
balade,stroll
passais,passed
capitale,capital city
générale,general
hémorragie,hemorrhage
prouvé,proven
déplacé,displaced
massage,massage
